,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
341,GRP2,4,GOV,GRP2,GRP2,no,NA,NA,NA,0.003857013,NA,NA
342,GRP2,5,GOV,GRP2,GRP2,Ref,0.035169818,NA,NA,0.004821266,NA,NA
343,GRP2,6,GOV,GRP2,GRP2,no,NA,NA,NA,0.005785519,NA,NA
344,GRP2,7,GOV,GRP2,GRP2,no,NA,NA,NA,0.006749772,NA,NA
345,GRP2,8,GOV,GRP2,GRP2,no,NA,NA,NA,0.007714025,-0.170614753,0.186042804
346,GRP2,9,GOV,GRP2,GRP2,no,NA,NA,NA,0.018465837,-0.141537916,0.17846959
347,GRP2,10,GOV,GRP2,GRP2,Ref,0.034356356,NA,NA,0.02871775,-0.115614299,0.1730498
348,GRP2,11,GOV,GRP2,GRP2,no,NA,NA,NA,0.038136499,-0.093847755,0.170120753
349,GRP2,12,GOV,GRP2,GRP2,no,NA,NA,NA,0.046388818,-0.077015251,0.169792887
350,GRP2,13,GOV,GRP2,GRP2,no,NA,NA,NA,0.053147493,-0.06545681,0.171751795
351,GRP2,14,GOV,GRP2,GRP2,no,NA,NA,NA,0.05822449,-0.05887042,0.1753194
352,GRP2,15,GOV,GRP2,GRP2,Ref,0.011815682,NA,NA,0.061570957,-0.056444276,0.17958619
353,GRP2,16,GOV,GRP2,GRP2,no,NA,NA,NA,0.063144093,-0.057198411,0.183486597
354,GRP2,17,GOV,GRP2,GRP2,no,NA,NA,NA,0.062901098,-0.060196832,0.185999029
355,GRP2,18,GOV,GRP2,GRP2,no,NA,NA,NA,0.060809573,-0.064663642,0.186282789
356,GRP2,19,GOV,GRP2,GRP2,no,NA,NA,NA,0.057076388,-0.069917738,0.184070513
357,GRP2,20,GOV,GRP2,GRP2,Ref,0.036836253,NA,NA,0.052147675,-0.075360535,0.179655886
358,GRP2,21,GOV,GRP2,GRP2,no,NA,NA,NA,0.046479975,-0.080536045,0.173495995
359,GRP2,22,GOV,GRP2,GRP2,no,NA,NA,NA,0.040529823,-0.08509784,0.166157486
360,GRP2,23,GOV,GRP2,GRP2,no,NA,NA,NA,0.034757609,-0.088787929,0.158303148
361,GRP2,24,GOV,GRP2,GRP2,no,NA,NA,NA,0.029712278,-0.091407783,0.15083234
362,GRP2,25,GOV,GRP2,GRP2,Ref,0.072903402,NA,NA,0.026031333,-0.092752731,0.144815398
363,GRP2,26,GOV,GRP2,GRP2,no,NA,NA,NA,0.024356128,-0.092552317,0.141264572
364,GRP2,27,GOV,GRP2,GRP2,no,NA,NA,NA,0.025328015,-0.090416505,0.141072535
365,GRP2,28,GOV,GRP2,GRP2,no,NA,NA,NA,0.029580541,-0.085805286,0.144966369
366,GRP2,29,GOV,GRP2,GRP2,no,NA,NA,NA,0.037567675,-0.078235883,0.153371233
367,GRP2,30,GOV,GRP2,GRP2,Ref,0.167878138,NA,NA,0.049563809,-0.067308104,0.166435722
368,GRP2,31,GOV,GRP2,GRP2,no,NA,NA,NA,0.065835526,-0.052516636,0.184187688
369,GRP2,32,GOV,GRP2,GRP2,no,NA,NA,NA,0.086649412,-0.03327901,0.206577834
370,GRP2,33,GOV,GRP2,GRP2,no,NA,NA,NA,0.11225746,-0.009001064,0.233515983
371,GRP2,34,GOV,GRP2,GRP2,no,NA,NA,NA,0.142576089,0.020448825,0.264703352
372,GRP2,35,GOV,GRP2,GRP2,Ref,0.238164124,NA,NA,0.177186143,0.054706574,0.299665712
